fn_5_0 = .text:0x00000000; // type:function size:0xA4
lbl_5_data_7F5BC = .data:0x0007F5BC; // type:object size:0x40
lbl_5_data_7F5FC = .data:0x0007F5FC; // type:object size:0x64
lbl_5_data_7F660 = .data:0x0007F660; // type:object size:0x40
lbl_5_data_7F6A0 = .data:0x0007F6A0; // type:object size:0x10
lbl_5_data_7F6B0 = .data:0x0007F6B0; // type:object size:0x24
lbl_5_data_7F6D4 = .data:0x0007F6D4; // type:object size:0x38
lbl_5_data_7F70C = .data:0x0007F70C; // type:object size:0x1B0
lbl_5_data_7F8BC = .data:0x0007F8BC; // type:object size:0x1B0
lbl_5_data_7FA6C = .data:0x0007FA6C; // type:object size:0x1C0
lbl_5_data_7FC2C = .data:0x0007FC2C; // type:object size:0x40
lbl_5_data_7FC6C = .data:0x0007FC6C; // type:object size:0x50
lbl_5_data_7FCBC = .data:0x0007FCBC; // type:object size:0x8
lbl_5_data_7FCC4 = .data:0x0007FCC4; // type:object size:0x1C
lbl_5_data_7FCE0 = .data:0x0007FCE0; // type:object size:0x100
lbl_5_data_7FDE0 = .data:0x0007FDE0; // type:object size:0x60
lbl_5_data_7FE40 = .data:0x0007FE40; // type:object size:0xC0
lbl_5_data_7FF00 = .data:0x0007FF00; // type:object size:0x30
lbl_5_data_7FF30 = .data:0x0007FF30; // type:object size:0x24
lbl_5_data_7FF54 = .data:0x0007FF54; // type:object size:0x38 data:4byte
lbl_5_data_7FF8C = .data:0x0007FF8C; // type:object size:0x18
lbl_5_data_7FFA4 = .data:0x0007FFA4; // type:object size:0x8
lbl_5_data_7FFAC = .data:0x0007FFAC; // type:object size:0x14
lbl_5_data_7FFC0 = .data:0x0007FFC0; // type:object size:0x54
lbl_5_data_80014 = .data:0x00080014; // type:object size:0x18
lbl_5_data_8002C = .data:0x0008002C; // type:object size:0xCC
lbl_5_data_800F8 = .data:0x000800F8; // type:object size:0xCC
lbl_5_data_801C4 = .data:0x000801C4; // type:object size:0x28
lbl_5_data_801EC = .data:0x000801EC; // type:object size:0x38 data:4byte
lbl_5_data_80224 = .data:0x00080224; // type:object size:0x60
lbl_5_data_80284 = .data:0x00080284; // type:object size:0x40
lbl_5_data_802C4 = .data:0x000802C4; // type:object size:0x70
lbl_5_data_80334 = .data:0x00080334; // type:object size:0x70
lbl_5_data_803A4 = .data:0x000803A4; // type:object size:0x70
lbl_5_data_80414 = .data:0x00080414; // type:object size:0x70
lbl_5_data_80484 = .data:0x00080484; // type:object size:0x70
lbl_5_data_804F4 = .data:0x000804F4; // type:object size:0x70
lbl_5_data_80564 = .data:0x00080564; // type:object size:0x70
lbl_5_data_805D4 = .data:0x000805D4; // type:object size:0x70
lbl_5_data_80644 = .data:0x00080644; // type:object size:0x90
lbl_5_data_806D4 = .data:0x000806D4; // type:object size:0xC
lbl_5_data_806E0 = .data:0x000806E0; // type:object size:0x20
lbl_5_data_80700 = .data:0x00080700; // type:object size:0x20
lbl_5_data_80720 = .data:0x00080720; // type:object size:0x30
lbl_5_data_80750 = .data:0x00080750; // type:object size:0xC
lbl_5_data_8075C = .data:0x0008075C; // type:object size:0x4 align:4 data:float
lbl_5_data_80760 = .data:0x00080760; // type:object size:0xC align:4 data:float
lbl_5_data_8076C = .data:0x0008076C; // type:object size:0xC
lbl_5_data_80778 = .data:0x00080778; // type:object size:0xC
lbl_5_data_80784 = .data:0x00080784; // type:object size:0x4 align:4 data:float
lbl_5_data_80788 = .data:0x00080788; // type:object size:0x4 align:4 data:float
lbl_5_data_8078C = .data:0x0008078C; // type:object size:0x4 align:4 data:float
lbl_5_data_80790 = .data:0x00080790; // type:object size:0x4 align:4 data:float
lbl_5_data_80794 = .data:0x00080794; // type:object size:0x14
lbl_5_data_807A8 = .data:0x000807A8; // type:object size:0x60 align:4 data:float
jumptable_5_data_80808 = .data:0x00080808; // type:object size:0x44 scope:local
lbl_5_data_80860 = .data:0x00080860; // type:object size:0xE data:string
lbl_5_data_80870 = .data:0x00080870; // type:object size:0xE data:string
lbl_5_data_80880 = .data:0x00080880; // type:object size:0xD data:string
lbl_5_data_80890 = .data:0x00080890; // type:object size:0x24
lbl_5_data_808B4 = .data:0x000808B4; // type:object size:0x8
lbl_5_data_808BC = .data:0x000808BC; // type:object size:0xB8
lbl_5_data_80974 = .data:0x00080974; // type:object size:0xE4
lbl_5_data_80A58 = .data:0x00080A58; // type:object size:0x18
lbl_5_data_80A70 = .data:0x00080A70; // type:object size:0x38
lbl_5_data_80AA8 = .data:0x00080AA8; // type:object size:0xB8
lbl_5_data_80B60 = .data:0x00080B60; // type:object size:0xE4
lbl_5_data_80C44 = .data:0x00080C44; // type:object size:0x18
lbl_5_data_80C5C = .data:0x00080C5C; // type:object size:0x38
lbl_5_data_80C94 = .data:0x00080C94; // type:object size:0xB8
lbl_5_data_80D4C = .data:0x00080D4C; // type:object size:0xE4
lbl_5_data_80E30 = .data:0x00080E30; // type:object size:0x18
lbl_5_data_80E48 = .data:0x00080E48; // type:object size:0x38
lbl_5_data_80E80 = .data:0x00080E80; // type:object size:0x5F0
lbl_5_data_81470 = .data:0x00081470; // type:object size:0x72C
lbl_5_data_81B9C = .data:0x00081B9C; // type:object size:0x18
lbl_5_data_81BB4 = .data:0x00081BB4; // type:object size:0x38
lbl_5_data_81BEC = .data:0x00081BEC; // type:object size:0x80
lbl_5_data_81C6C = .data:0x00081C6C; // type:object size:0x80
lbl_5_data_81CEC = .data:0x00081CEC; // type:object size:0x80
lbl_5_data_81D6C = .data:0x00081D6C; // type:object size:0x40
lbl_5_data_81DAC = .data:0x00081DAC; // type:object size:0xC
lbl_5_data_81DB8 = .data:0x00081DB8; // type:object size:0xC
lbl_5_data_81DC4 = .data:0x00081DC4; // type:object size:0x8
lbl_5_data_81DCC = .data:0x00081DCC; // type:object size:0xBC
lbl_5_data_81E88 = .data:0x00081E88; // type:object size:0xE4
lbl_5_data_81F6C = .data:0x00081F6C; // type:object size:0x18
lbl_5_data_81F84 = .data:0x00081F84; // type:object size:0xD data:string
lbl_5_data_81F94 = .data:0x00081F94; // type:object size:0xD data:string
lbl_5_data_81FA4 = .data:0x00081FA4; // type:object size:0x18
lbl_5_data_81FBC = .data:0x00081FBC; // type:object size:0x8
lbl_5_data_81FC4 = .data:0x00081FC4; // type:object size:0x154
lbl_5_data_82118 = .data:0x00082118; // type:object size:0x1A4
lbl_5_data_822BC = .data:0x000822BC; // type:object size:0x18
lbl_5_data_822D4 = .data:0x000822D4; // type:object size:0x38 data:4byte
lbl_5_data_8230C = .data:0x0008230C; // type:object size:0x20
lbl_5_data_8232C = .data:0x0008232C; // type:object size:0x20
lbl_5_data_8234C = .data:0x0008234C; // type:object size:0x40
lbl_5_data_8238C = .data:0x0008238C; // type:object size:0xC
lbl_5_data_82398 = .data:0x00082398; // type:object size:0x18
lbl_5_data_823B0 = .data:0x000823B0; // type:object size:0x8
lbl_5_data_823B8 = .data:0x000823B8; // type:object size:0x48
lbl_5_data_82400 = .data:0x00082400; // type:object size:0x48
lbl_5_data_82448 = .data:0x00082448; // type:object size:0x20
lbl_5_data_82468 = .data:0x00082468; // type:object size:0x40
lbl_5_data_824A8 = .data:0x000824A8; // type:object size:0x58
lbl_5_data_82500 = .data:0x00082500; // type:object size:0x40
lbl_5_data_82540 = .data:0x00082540; // type:object size:0x10
lbl_5_data_82550 = .data:0x00082550; // type:object size:0x24
lbl_5_data_82574 = .data:0x00082574; // type:object size:0x38
lbl_5_data_825AC = .data:0x000825AC; // type:object size:0x48
lbl_5_data_825F4 = .data:0x000825F4; // type:object size:0x48
lbl_5_data_8263C = .data:0x0008263C; // type:object size:0x20
lbl_5_data_8265C = .data:0x0008265C; // type:object size:0x40
lbl_5_data_8269C = .data:0x0008269C; // type:object size:0x64
lbl_5_data_82700 = .data:0x00082700; // type:object size:0x40
lbl_5_data_82740 = .data:0x00082740; // type:object size:0x10
lbl_5_data_82750 = .data:0x00082750; // type:object size:0x24
lbl_5_data_82774 = .data:0x00082774; // type:object size:0x38
lbl_5_data_827AC = .data:0x000827AC; // type:object size:0x2D0
lbl_5_data_82A7C = .data:0x00082A7C; // type:object size:0x2D0
lbl_5_data_82D4C = .data:0x00082D4C; // type:object size:0x28C
lbl_5_data_82FD8 = .data:0x00082FD8; // type:object size:0x40
lbl_5_data_83018 = .data:0x00083018; // type:object size:0x50
lbl_5_data_83068 = .data:0x00083068; // type:object size:0x8
lbl_5_data_83070 = .data:0x00083070; // type:object size:0x10
lbl_5_data_83080 = .data:0x00083080; // type:object size:0x60
lbl_5_data_830E0 = .data:0x000830E0; // type:object size:0x100
lbl_5_data_831E0 = .data:0x000831E0; // type:object size:0x1A0
lbl_5_data_83380 = .data:0x00083380; // type:object size:0x30
lbl_5_data_833B0 = .data:0x000833B0; // type:object size:0x24
lbl_5_data_833D4 = .data:0x000833D4; // type:object size:0x38 data:4byte
lbl_5_data_8340C = .data:0x0008340C; // type:object size:0x14
lbl_5_data_83420 = .data:0x00083420; // type:object size:0x80
lbl_5_data_834A0 = .data:0x000834A0; // type:object size:0x18
lbl_5_data_834B8 = .data:0x000834B8; // type:object size:0xD8
lbl_5_data_83590 = .data:0x00083590; // type:object size:0xD8
lbl_5_data_83668 = .data:0x00083668; // type:object size:0x28
lbl_5_data_83690 = .data:0x00083690; // type:object size:0x38 data:4byte
lbl_5_data_836C8 = .data:0x000836C8; // type:object size:0x1C
lbl_5_data_836E4 = .data:0x000836E4; // type:object size:0x80 data:4byte
lbl_5_data_83764 = .data:0x00083764; // type:object size:0xC
lbl_5_data_83770 = .data:0x00083770; // type:object size:0x4 align:4 data:float
lbl_5_data_83774 = .data:0x00083774; // type:object size:0x4 align:4 data:float
lbl_5_data_83778 = .data:0x00083778; // type:object size:0x4 align:4 data:float
lbl_5_data_8377C = .data:0x0008377C; // type:object size:0x4 align:4 data:float
lbl_5_data_83780 = .data:0x00083780; // type:object size:0x30
lbl_5_data_837B0 = .data:0x000837B0; // type:object size:0x30
lbl_5_data_837E0 = .data:0x000837E0; // type:object size:0xE data:string
lbl_5_data_837F0 = .data:0x000837F0; // type:object size:0xC
lbl_5_data_837FC = .data:0x000837FC; // type:object size:0x8
lbl_5_data_83804 = .data:0x00083804; // type:object size:0x318
lbl_5_data_83B1C = .data:0x00083B1C; // type:object size:0x42C
lbl_5_data_83F48 = .data:0x00083F48; // type:object size:0x18
lbl_5_data_83F60 = .data:0x00083F60; // type:object size:0x38
lbl_5_data_83F98 = .data:0x00083F98; // type:object size:0x318
lbl_5_data_842B0 = .data:0x000842B0; // type:object size:0x42C
lbl_5_data_846DC = .data:0x000846DC; // type:object size:0x18
lbl_5_data_846F4 = .data:0x000846F4; // type:object size:0x38
lbl_5_data_8472C = .data:0x0008472C; // type:object size:0x69C
lbl_5_data_84DC8 = .data:0x00084DC8; // type:object size:0x7BC
lbl_5_data_85584 = .data:0x00085584; // type:object size:0x18
lbl_5_data_8559C = .data:0x0008559C; // type:object size:0x268
lbl_5_data_85804 = .data:0x00085804; // type:object size:0x24
lbl_5_data_85828 = .data:0x00085828; // type:object size:0x268
lbl_5_data_85A90 = .data:0x00085A90; // type:object size:0x24
lbl_5_data_85AB4 = .data:0x00085AB4; // type:object size:0x30
lbl_5_data_85AE4 = .data:0x00085AE4; // type:object size:0x4 align:4 data:float
lbl_5_data_85AE8 = .data:0x00085AE8; // type:object size:0x4 align:4 data:float
lbl_5_data_85AEC = .data:0x00085AEC; // type:object size:0x4 align:4 data:float
lbl_5_data_85AF0 = .data:0x00085AF0; // type:object size:0x4 data:4byte
jumptable_5_data_85AF4 = .data:0x00085AF4; // type:object size:0x30 scope:local
lbl_5_data_85B24 = .data:0x00085B24; // type:object size:0x1C
lbl_5_data_85B40 = .data:0x00085B40; // type:object size:0xE data:string
lbl_5_data_85B50 = .data:0x00085B50; // type:object size:0xE data:string
lbl_5_data_85B60 = .data:0x00085B60; // type:object size:0xD data:string
lbl_5_data_85B70 = .data:0x00085B70; // type:object size:0xD data:string
lbl_5_data_85B80 = .data:0x00085B80; // type:object size:0xD data:string
lbl_5_data_85B90 = .data:0x00085B90; // type:object size:0xD data:string
lbl_5_data_85BA0 = .data:0x00085BA0; // type:object size:0xD data:string
lbl_5_data_85BB0 = .data:0x00085BB0; // type:object size:0x54
lbl_5_data_85C04 = .data:0x00085C04; // type:object size:0x8
lbl_5_data_85C0C = .data:0x00085C0C; // type:object size:0x410
lbl_5_data_8601C = .data:0x0008601C; // type:object size:0x4EC
lbl_5_data_86508 = .data:0x00086508; // type:object size:0x18
lbl_5_data_86520 = .data:0x00086520; // type:object size:0x38
lbl_5_data_86558 = .data:0x00086558; // type:object size:0x510
lbl_5_data_86A68 = .data:0x00086A68; // type:object size:0x6B4
lbl_5_data_8711C = .data:0x0008711C; // type:object size:0x18
lbl_5_data_87134 = .data:0x00087134; // type:object size:0x38 data:4byte
lbl_5_data_8716C = .data:0x0008716C; // type:object size:0xC
lbl_5_data_87178 = .data:0x00087178; // type:object size:0x8
lbl_5_data_87180 = .data:0x00087180; // type:object size:0x34
lbl_5_data_871B4 = .data:0x000871B4; // type:object size:0x4C
lbl_5_data_87200 = .data:0x00087200; // type:object size:0x18
lbl_5_data_87218 = .data:0x00087218; // type:object size:0x38
lbl_5_data_87250 = .data:0x00087250; // type:object size:0x270
lbl_5_data_874C0 = .data:0x000874C0; // type:object size:0x270
lbl_5_data_87730 = .data:0x00087730; // type:object size:0x264
lbl_5_data_87994 = .data:0x00087994; // type:object size:0x40
lbl_5_data_879D4 = .data:0x000879D4; // type:object size:0x50
lbl_5_data_87A24 = .data:0x00087A24; // type:object size:0x1C
lbl_5_data_87A40 = .data:0x00087A40; // type:object size:0x40
lbl_5_data_87A80 = .data:0x00087A80; // type:object size:0x260
lbl_5_data_87CE0 = .data:0x00087CE0; // type:object size:0x20
lbl_5_data_87D00 = .data:0x00087D00; // type:object size:0x24
lbl_5_data_87D24 = .data:0x00087D24; // type:object size:0x38
lbl_5_data_87D5C = .data:0x00087D5C; // type:object size:0x354
lbl_5_data_880B0 = .data:0x000880B0; // type:object size:0x354
lbl_5_data_88404 = .data:0x00088404; // type:object size:0x2D4
lbl_5_data_886D8 = .data:0x000886D8; // type:object size:0x40
lbl_5_data_88718 = .data:0x00088718; // type:object size:0x50
lbl_5_data_88768 = .data:0x00088768; // type:object size:0x8
lbl_5_data_88770 = .data:0x00088770; // type:object size:0x8
lbl_5_data_88778 = .data:0x00088778; // type:object size:0x8
lbl_5_data_88780 = .data:0x00088780; // type:object size:0x8
lbl_5_data_88788 = .data:0x00088788; // type:object size:0x18
lbl_5_data_887A0 = .data:0x000887A0; // type:object size:0xA0
lbl_5_data_88840 = .data:0x00088840; // type:object size:0xC0
lbl_5_data_88900 = .data:0x00088900; // type:object size:0x100
lbl_5_data_88A00 = .data:0x00088A00; // type:object size:0x40
lbl_5_data_88A40 = .data:0x00088A40; // type:object size:0xA0
lbl_5_data_88AE0 = .data:0x00088AE0; // type:object size:0x20
lbl_5_data_88B00 = .data:0x00088B00; // type:object size:0x60
lbl_5_data_88B60 = .data:0x00088B60; // type:object size:0x60
lbl_5_data_88BC0 = .data:0x00088BC0; // type:object size:0x20
lbl_5_data_88BE0 = .data:0x00088BE0; // type:object size:0x10
lbl_5_data_88BF0 = .data:0x00088BF0; // type:object size:0x24
lbl_5_data_88C14 = .data:0x00088C14; // type:object size:0x38 data:4byte
lbl_5_data_88C4C = .data:0x00088C4C; // type:object size:0xC
lbl_5_data_88C58 = .data:0x00088C58; // type:object size:0x30 data:4byte
lbl_5_data_88C88 = .data:0x00088C88; // type:object size:0x30 data:4byte
lbl_5_data_88CB8 = .data:0x00088CB8; // type:object size:0x30
lbl_5_data_88CE8 = .data:0x00088CE8; // type:object size:0xC data:4byte
lbl_5_data_88CF4 = .data:0x00088CF4; // type:object size:0x11 data:string
lbl_5_data_88D08 = .data:0x00088D08; // type:object size:0xE data:string
lbl_5_data_88D18 = .data:0x00088D18; // type:object size:0x7 data:string
lbl_5_data_88D20 = .data:0x00088D20; // type:object size:0x60 data:4byte
lbl_5_data_88D80 = .data:0x00088D80; // type:object size:0xD data:string
lbl_5_data_88D90 = .data:0x00088D90; // type:object size:0xC
lbl_5_data_88D9C = .data:0x00088D9C; // type:object size:0x8
lbl_5_data_88DA4 = .data:0x00088DA4; // type:object size:0x438
lbl_5_data_891DC = .data:0x000891DC; // type:object size:0x4D4
lbl_5_data_896B0 = .data:0x000896B0; // type:object size:0x18
lbl_5_data_896C8 = .data:0x000896C8; // type:object size:0x8
lbl_5_data_896D0 = .data:0x000896D0; // type:object size:0x90
lbl_5_data_89760 = .data:0x00089760; // type:object size:0xF data:string
lbl_5_data_89770 = .data:0x00089770; // type:object size:0x30
lbl_5_data_897A0 = .data:0x000897A0; // type:object size:0xE data:string
lbl_5_data_897B0 = .data:0x000897B0; // type:object size:0xE data:string
lbl_5_data_897C0 = .data:0x000897C0; // type:object size:0x18
lbl_5_data_897D8 = .data:0x000897D8; // type:object size:0x8
lbl_5_data_897E0 = .data:0x000897E0; // type:object size:0xA8
lbl_5_data_89888 = .data:0x00089888; // type:object size:0xCC
lbl_5_data_89954 = .data:0x00089954; // type:object size:0x18
lbl_5_data_8996C = .data:0x0008996C; // type:object size:0x8
lbl_5_data_89974 = .data:0x00089974; // type:object size:0x4C
lbl_5_data_899C0 = .data:0x000899C0; // type:object size:0xE data:string
lbl_5_data_899D0 = .data:0x000899D0; // type:object size:0xC
_rename_spring_TexList = .data:0x000899DC; // type:object size:0x8
lbl_5_data_899E4 = .data:0x000899E4; // type:object size:0x154
lbl_5_data_89B38 = .data:0x00089B38; // type:object size:0x1A4
lbl_5_data_89CDC = .data:0x00089CDC; // type:object size:0x18
_rename_SpringObj1 = .data:0x00089CF4; // type:object size:0x38 data:4byte
lbl_5_data_89D2C = .data:0x00089D2C; // type:object size:0xF0
lbl_5_data_89E1C = .data:0x00089E1C; // type:object size:0x18C
lbl_5_data_89FA8 = .data:0x00089FA8; // type:object size:0x18
_rename_SpringObj2 = .data:0x00089FC0; // type:object size:0x38 data:4byte
lbl_5_data_89FF8 = .data:0x00089FF8; // type:object size:0x230
lbl_5_data_8A228 = .data:0x0008A228; // type:object size:0x1BC
lbl_5_data_8A3E4 = .data:0x0008A3E4; // type:object size:0x18
lbl_5_data_8A3FC = .data:0x0008A3FC; // type:object size:0x1AC
lbl_5_data_8A5A8 = .data:0x0008A5A8; // type:object size:0x1BC
lbl_5_data_8A764 = .data:0x0008A764; // type:object size:0x18
_rename_SpringObj4 = .data:0x0008A77C; // type:object size:0x38 data:4byte
lbl_5_data_8A7B4 = .data:0x0008A7B4; // type:object size:0xF0
lbl_5_data_8A8A4 = .data:0x0008A8A4; // type:object size:0x18C
lbl_5_data_8AA30 = .data:0x0008AA30; // type:object size:0x18
_rename_SpringObj3 = .data:0x0008AA48; // type:object size:0x38 data:4byte
lbl_5_data_8AA80 = .data:0x0008AA80; // type:object size:0x1AC
lbl_5_data_8AC2C = .data:0x0008AC2C; // type:object size:0x15C
lbl_5_data_8AD88 = .data:0x0008AD88; // type:object size:0x18
lbl_5_data_8ADA0 = .data:0x0008ADA0; // type:object size:0xCC
lbl_5_data_8AE6C = .data:0x0008AE6C; // type:object size:0xCC
lbl_5_data_8AF38 = .data:0x0008AF38; // type:object size:0xB8
lbl_5_data_8AFF0 = .data:0x0008AFF0; // type:object size:0x40
lbl_5_data_8B030 = .data:0x0008B030; // type:object size:0x50
lbl_5_data_8B080 = .data:0x0008B080; // type:object size:0x20
lbl_5_data_8B0A0 = .data:0x0008B0A0; // type:object size:0x40
lbl_5_data_8B0E0 = .data:0x0008B0E0; // type:object size:0xA0
lbl_5_data_8B180 = .data:0x0008B180; // type:object size:0x20
lbl_5_data_8B1A0 = .data:0x0008B1A0; // type:object size:0x24
_rename_SpringGjObj2 = .data:0x0008B1C4; // type:object size:0x38 data:4byte
lbl_5_data_8B1FC = .data:0x0008B1FC; // type:object size:0xC0
lbl_5_data_8B2BC = .data:0x0008B2BC; // type:object size:0xC0
lbl_5_data_8B37C = .data:0x0008B37C; // type:object size:0x80
lbl_5_data_8B3FC = .data:0x0008B3FC; // type:object size:0x40
lbl_5_data_8B43C = .data:0x0008B43C; // type:object size:0x64
lbl_5_data_8B4A0 = .data:0x0008B4A0; // type:object size:0xA0
lbl_5_data_8B540 = .data:0x0008B540; // type:object size:0x10
lbl_5_data_8B550 = .data:0x0008B550; // type:object size:0x24
_rename_SpringGjObj3 = .data:0x0008B574; // type:object size:0x38 data:4byte
lbl_5_data_8B5AC = .data:0x0008B5AC; // type:object size:0xD8
lbl_5_data_8B684 = .data:0x0008B684; // type:object size:0xD8
lbl_5_data_8B75C = .data:0x0008B75C; // type:object size:0x140
lbl_5_data_8B89C = .data:0x0008B89C; // type:object size:0x40
lbl_5_data_8B8DC = .data:0x0008B8DC; // type:object size:0x64
lbl_5_data_8B940 = .data:0x0008B940; // type:object size:0x140
lbl_5_data_8BA80 = .data:0x0008BA80; // type:object size:0x10
_rename_SpringGjModel1 = .data:0x0008BA90; // type:object size:0x24
lbl_5_data_8BAB4 = .data:0x0008BAB4; // type:object size:0xD8
lbl_5_data_8BB8C = .data:0x0008BB8C; // type:object size:0xD8
lbl_5_data_8BC64 = .data:0x0008BC64; // type:object size:0xF0
lbl_5_data_8BD54 = .data:0x0008BD54; // type:object size:0x40
lbl_5_data_8BD94 = .data:0x0008BD94; // type:object size:0x50
lbl_5_data_8BDE4 = .data:0x0008BDE4; // type:object size:0x1C
lbl_5_data_8BE00 = .data:0x0008BE00; // type:object size:0x40
lbl_5_data_8BE40 = .data:0x0008BE40; // type:object size:0xE0
lbl_5_data_8BF20 = .data:0x0008BF20; // type:object size:0x20
lbl_5_data_8BF40 = .data:0x0008BF40; // type:object size:0x24
_rename_SpringGjObj1 = .data:0x0008BF64; // type:object size:0x38 data:4byte
lbl_5_data_8BF9C = .data:0x0008BF9C; // type:object size:0xC0
lbl_5_data_8C05C = .data:0x0008C05C; // type:object size:0xC0
lbl_5_data_8C11C = .data:0x0008C11C; // type:object size:0x80
lbl_5_data_8C19C = .data:0x0008C19C; // type:object size:0x40
lbl_5_data_8C1DC = .data:0x0008C1DC; // type:object size:0x64
lbl_5_data_8C240 = .data:0x0008C240; // type:object size:0xA0
lbl_5_data_8C2E0 = .data:0x0008C2E0; // type:object size:0x10
lbl_5_data_8C2F0 = .data:0x0008C2F0; // type:object size:0x24
_rename_SpringGjObj4 = .data:0x0008C314; // type:object size:0x38 data:4byte
lbl_5_data_8C34C = .data:0x0008C34C; // type:object size:0xA8
lbl_5_data_8C3F4 = .data:0x0008C3F4; // type:object size:0xA8
lbl_5_data_8C49C = .data:0x0008C49C; // type:object size:0xF0
lbl_5_data_8C58C = .data:0x0008C58C; // type:object size:0x40
lbl_5_data_8C5CC = .data:0x0008C5CC; // type:object size:0x54
lbl_5_data_8C620 = .data:0x0008C620; // type:object size:0xE0
lbl_5_data_8C700 = .data:0x0008C700; // type:object size:0x10
_rename_SpringGjModel2 = .data:0x0008C710; // type:object size:0x24
spr_colli_info = .data:0x0008C734; // type:object size:0x30
spr_colli_info_b = .data:0x0008C764; // type:object size:0x30
_rename_SpringObjArr = .data:0x0008C794; // type:object size:0x64 data:4byte
lbl_5_data_8C7F8 = .data:0x0008C7F8; // type:object size:0x7 data:string
lbl_5_data_8C800 = .data:0x0008C800; // type:object size:0x7 data:string
lbl_5_data_8C808 = .data:0x0008C808; // type:object size:0x7 data:string
lbl_5_data_8C810 = .data:0x0008C810; // type:object size:0x7 data:string
lbl_5_data_8C818 = .data:0x0008C818; // type:object size:0x7 data:string
lbl_5_data_8C820 = .data:0x0008C820; // type:object size:0x7 data:string
lbl_5_data_8C828 = .data:0x0008C828; // type:object size:0x7 data:string
lbl_5_data_8C830 = .data:0x0008C830; // type:object size:0x7 data:string
lbl_5_data_8C838 = .data:0x0008C838; // type:object size:0x60
lbl_5_data_8C898 = .data:0x0008C898; // type:object size:0x8
lbl_5_data_8C8A0 = .data:0x0008C8A0; // type:object size:0x3C
lbl_5_data_8C8DC = .data:0x0008C8DC; // type:object size:0x38
lbl_5_data_8C914 = .data:0x0008C914; // type:object size:0x38
lbl_5_data_8C94C = .data:0x0008C94C; // type:object size:0x38
lbl_5_data_8C984 = .data:0x0008C984; // type:object size:0x38
lbl_5_data_8C9BC = .data:0x0008C9BC; // type:object size:0x38
lbl_5_data_8C9F4 = .data:0x0008C9F4; // type:object size:0x8
lbl_5_data_8C9FC = .data:0x0008C9FC; // type:object size:0xA data:string
lbl_5_data_8CA08 = .data:0x0008CA08; // type:object size:0xE data:string
lbl_5_data_8CA18 = .data:0x0008CA18; // type:object size:0xC
lbl_5_data_8CA24 = .data:0x0008CA24; // type:object size:0x8
lbl_5_data_8CA2C = .data:0x0008CA2C; // type:object size:0xC0
lbl_5_data_8CAEC = .data:0x0008CAEC; // type:object size:0xE4
lbl_5_data_8CBD0 = .data:0x0008CBD0; // type:object size:0x18
lbl_5_data_8CBE8 = .data:0x0008CBE8; // type:object size:0x4D0
lbl_5_data_8D0B8 = .data:0x0008D0B8; // type:object size:0x4BC
lbl_5_data_8D574 = .data:0x0008D574; // type:object size:0x18
lbl_5_data_8D58C = .data:0x0008D58C; // type:object size:0x1C0
lbl_5_data_8D74C = .data:0x0008D74C; // type:object size:0x24C
lbl_5_data_8D998 = .data:0x0008D998; // type:object size:0x18
lbl_5_data_8D9B0 = .data:0x0008D9B0; // type:object size:0x40 data:4byte
lbl_5_data_8D9F0 = .data:0x0008D9F0; // type:object size:0x4 data:4byte
lbl_5_data_8D9F4 = .data:0x0008D9F4; // type:object size:0x4 data:4byte
lbl_5_data_8D9F8 = .data:0x0008D9F8; // type:object size:0x4 data:4byte
lbl_5_data_8D9FC = .data:0x0008D9FC; // type:object size:0x64
lbl_5_data_8DA60 = .data:0x0008DA60; // type:object size:0xE data:string
lbl_5_data_8DA70 = .data:0x0008DA70; // type:object size:0xD data:string
lbl_5_data_8DA80 = .data:0x0008DA80; // type:object size:0xD data:string
lbl_5_data_8DA90 = .data:0x0008DA90; // type:object size:0xD data:string
lbl_5_data_8DAA0 = .data:0x0008DAA0; // type:object size:0xD data:string
lbl_5_data_8DAB0 = .data:0x0008DAB0; // type:object size:0xE data:string
lbl_5_data_8DAC0 = .data:0x0008DAC0; // type:object size:0x48
lbl_5_data_8DB08 = .data:0x0008DB08; // type:object size:0x8
lbl_5_data_8DB10 = .data:0x0008DB10; // type:object size:0x138
lbl_5_data_8DC48 = .data:0x0008DC48; // type:object size:0x138
lbl_5_data_8DD80 = .data:0x0008DD80; // type:object size:0x130
lbl_5_data_8DEB0 = .data:0x0008DEB0; // type:object size:0x40
lbl_5_data_8DEF0 = .data:0x0008DEF0; // type:object size:0x50
lbl_5_data_8DF40 = .data:0x0008DF40; // type:object size:0x20
lbl_5_data_8DF60 = .data:0x0008DF60; // type:object size:0x100
lbl_5_data_8E060 = .data:0x0008E060; // type:object size:0x60
lbl_5_data_8E0C0 = .data:0x0008E0C0; // type:object size:0x20
lbl_5_data_8E0E0 = .data:0x0008E0E0; // type:object size:0x24
lbl_5_data_8E104 = .data:0x0008E104; // type:object size:0x38
lbl_5_data_8E13C = .data:0x0008E13C; // type:object size:0x48
lbl_5_data_8E184 = .data:0x0008E184; // type:object size:0x48
lbl_5_data_8E1CC = .data:0x0008E1CC; // type:object size:0x30
lbl_5_data_8E1FC = .data:0x0008E1FC; // type:object size:0x40
lbl_5_data_8E23C = .data:0x0008E23C; // type:object size:0x64
lbl_5_data_8E2A0 = .data:0x0008E2A0; // type:object size:0x40
lbl_5_data_8E2E0 = .data:0x0008E2E0; // type:object size:0x10
